State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"33,923","26,087","26,491","25,480","25,986","24,621","21,309","20,804","27,528","46,461","61,350","56,471","66,330","51,616","56,268","68,621","87,876","143,470","144,227","118,380","127,957","133,637","113,695","88,475","112,485","81,736","77,035","72,537","53,994","43,169","42,166","47,806","43,468","42,011","50,755","48,455","44,444","40,639","42,071","42,170","40,688","42,810","33,899","37,411","41,850","39,664","43,052","34,845","29,851","18,277","17,580","19,094","22,004","25,054","20,607","17,422","14,440","12,590","15,121","5,153",16,11,39,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"2,169,831","2,060,353","2,112,248","2,308,097","2,413,787","2,453,589","2,432,385","2,361,801","2,257,714","2,303,517","2,357,967","2,127,367","2,164,590","2,096,942","2,150,183","2,246,057","2,321,250","2,270,585","2,172,466","2,390,769","2,370,499","2,138,782","2,029,338","1,785,151","1,983,208","1,832,983","1,842,452","1,807,237","1,825,287","1,822,907","1,831,440","1,701,624","1,812,815","1,553,125","1,621,471","1,602,243","1,766,791","1,982,914","2,133,532","1,994,709","1,946,487","1,929,615","1,734,216","1,599,175","1,600,275","1,607,811","1,583,197","1,557,006","1,591,997","1,439,895","1,485,775","1,511,491","1,390,644","1,379,262","1,566,449","1,278,078","1,168,609","1,260,516","1,278,056","1,250,902","908,798","1,070,658","1,042,593","1,122,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,262,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,"148,915","147,157","156,047","153,712","150,422","147,283","158,433","171,566","204,614","202,957","206,849","232,815","282,763","197,037","174,792","189,767","221,457","221,425","236,698","209,549","239,030","258,106","183,943","165,983","183,261","185,152","171,635","160,942","163,480","162,633","156,330","108,022","88,068","77,469","76,207","82,105","91,365","82,707","67,036","75,919","68,027","84,824","81,658","65,617","73,354","82,083","71,957","67,714","59,086","50,347","45,030","38,576","28,372","28,376","21,711","23,192","16,596","11,168","5,922","11,341","2,377",0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,"26,409","26,535","25,855","27,441","28,839","30,349","28,360","27,102","28,839","28,310","29,078","28,360","50,918","97,216","107,576","144,160","182,651","209,460","265,268","356,524","385,041","418,838","448,801","493,048","515,269","574,734","615,490","640,051","658,102","675,280","706,720","674,067","685,491","682,967","660,044","664,511","709,509","687,914","677,016","671,989","632,360","578,696","581,168","594,734","572,489","595,612","593,496","554,720","515,493","455,507","538,258","605,290","578,697","564,850","576,803","471,257","515,707","474,274","328,812","308,449","262,510","229,766","221,590","182,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,"114,689","119,411","99,459","100,917","109,250","115,545","107,282","96,635","99,899","107,791","109,551","107,074","111,148","134,315","142,066","165,908","179,080","198,555","210,600","280,172","309,778","319,632","396,545","271,785","285,333","301,122","331,530","383,552","420,403","459,838","511,406","507,979","492,997","506,837","566,914","586,398","640,410","616,384","600,793","620,369","631,270","640,594","586,926","536,150","490,146","554,221","593,321","556,436","564,147","502,598","445,692","453,869","387,129","385,736","410,997","325,216","310,453","317,768","305,328","326,024","296,168","275,199","246,088","156,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,"752,355","818,669","794,606","823,684","855,445","921,140","961,710","992,721","998,969","964,455","960,260","838,224","930,648","867,073","862,074","886,808","1,020,380","947,701","803,194","961,044","1,063,349","1,104,467","1,048,592","933,640","1,079,425","1,100,878","1,106,055","1,193,987","1,243,991","1,155,118","1,276,214","1,131,253","1,159,688","1,046,530","987,555","913,518","946,719","956,413","905,967","854,725","870,044","863,870","793,381","827,937","817,769","716,557","768,443","656,314","623,303","535,643","564,326","562,805","493,398","456,766","393,225","365,832","335,590","343,642","318,949","320,290","251,899","283,564","279,463","282,790",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,"3,714","3,111","3,828","3,095","1,108",896,961,961,"2,899",945,603,"18,471","42,903","52,974","63,391","60,637","66,566","81,923","76,270","82,166","83,268","75,087","67,457","63,034","62,726","71,896","74,536","72,074","84,209","81,690","81,056","82,320","83,184","74,933","77,210","78,433","72,089","71,253","72,809","63,997","66,520","72,134","91,335","97,712","89,958","82,685","40,268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,"2,971,458","2,821,061","2,953,044","3,305,985","3,532,592","3,730,403","3,741,366","3,842,089","3,645,105","3,535,711","3,652,113","2,991,677","3,128,328","2,972,141","2,605,821","2,769,249","2,768,788","2,422,787","2,148,688","2,891,197","3,112,014","2,934,294","3,344,594","3,003,769","3,413,581","3,339,898","3,391,600","3,561,008","3,802,175","3,996,483","4,450,036","4,391,171","4,250,361","3,382,972","4,203,423","4,217,195","4,392,067","4,464,061","4,413,049","4,021,540","4,015,521","4,085,483","3,805,093","3,524,504","3,724,793","3,848,482","3,802,035","3,855,269","3,870,325","3,379,357","3,346,117","3,321,102","3,059,090","2,874,653","2,858,022","2,447,181","2,041,073","2,390,309","2,468,639","2,422,224","1,748,361","2,045,481","2,160,857","2,201,825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,"35,173","43,949","44,644","54,288","53,889","56,652","63,777","62,352","66,540","79,973","125,503","139,927","189,905","275,588","386,138","434,560","562,876","829,722","1,040,681","1,273,792","1,689,894","1,805,421","1,883,980","1,951,950","2,262,190","2,430,658","2,363,205","2,536,336","2,850,214","2,972,702","3,194,482","3,356,524","3,301,795","3,633,351","4,093,410","4,551,803","4,817,051","4,886,100","5,450,488","5,837,971","5,892,281","6,407,633","6,486,135","6,551,331","6,908,962","7,019,843","7,739,988","7,847,634","8,087,435","7,459,876","7,658,286","7,591,675","6,973,727","6,760,447","6,880,205","6,538,240","5,169,939","5,516,757","5,315,953","4,828,513","3,822,600","4,189,040","4,265,088","4,133,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,"10,590,206","10,239,471","10,670,680","11,605,467","12,273,824","12,831,858","13,281,168","13,697,146","13,486,770","13,832,984","14,877,023","13,517,653","14,391,826","14,006,108","14,025,005","14,981,863","15,689,495","15,759,938","14,979,104","17,617,675","18,629,602","18,523,580","18,826,604","17,364,161","19,914,476","19,514,305","19,676,150","20,295,490","20,949,127","21,517,324","22,761,184","21,869,054","21,897,732","20,358,442","22,345,526","22,178,769","22,839,407","23,412,530","23,917,422","23,177,242","22,595,116","23,587,925","22,729,814","22,054,837","22,821,746","23,183,084","23,643,934","23,337,321","23,706,398","21,689,785","21,831,301","22,057,248","20,585,319","19,901,802","20,170,837","17,931,020","14,538,027","15,549,225","15,280,478","14,290,746","10,723,138","11,642,632","11,973,477","11,766,453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
