State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,30,22,16,14,11,10,9,8,7,7,6,6,5,5,5,5,4,4,4,3,4,3,3,4,3,3,3,5,12,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"5,095","5,863","4,352","4,045","3,191","3,410","2,756","3,918","4,729","4,963","3,429","2,248","3,756","4,675","5,105","7,742","9,364","10,800","14,065","15,740","16,034","16,395","16,242","18,318","25,880","32,476","30,833","26,446","24,135","21,026","25,774","23,415","24,190","21,797","21,038","18,915","18,603","16,609","17,167","16,557","18,254","28,593","37,663","37,113","47,247","56,560","57,156","56,206","51,377","45,791","36,601","31,902","27,243","24,232","20,847","17,879","13,942","11,760","10,994","11,313","9,976","10,019","9,743","8,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"36,904","37,261","37,592","37,664","38,167","36,505","44,125","42,265","43,654","50,938","53,312","81,741","92,065","95,950","94,448","86,914","91,113","101,711","116,722","126,504","141,078","144,415","142,442","156,490","193,446","190,375","190,556","174,173","173,438","166,522","160,912","154,238","150,158","142,674","137,227","131,304","123,927","121,611","119,811","113,687","109,668","104,433","107,180","97,106","94,628","87,155","89,688","91,366","88,252","92,466","80,778","81,303","87,405","175,320","590,622","1,171,552","1,647,241","2,009,410","2,652,291","2,901,090","2,623,600","2,506,113","2,494,684","2,451,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"899,569","974,252","1,157,621","1,346,607","1,444,292","1,441,678","1,474,669","1,542,036","1,517,952","1,662,918","1,740,653","1,834,394","1,962,356","1,915,603","1,795,460","1,727,119","1,836,520","1,906,971","1,911,997","2,000,390","2,075,644","2,234,318","2,179,911","2,000,494","2,251,800","2,209,478","2,191,212","2,308,053","2,421,704","2,458,131","2,481,655","2,367,820","2,236,704","2,267,467","2,150,726","2,000,756","1,931,729","1,872,016","1,830,883","1,768,996","1,779,761","1,801,655","1,756,481","1,723,722","1,838,548","1,824,461","1,880,459","1,978,256","2,099,841","2,124,055","2,067,225","2,153,980","2,295,025","2,282,057","2,669,289","2,880,137","2,864,577","2,936,597","3,346,437","3,545,508","3,128,542","3,004,072","3,236,584","3,319,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,3,3,"2,890","4,202","4,701","3,906","4,092","2,588","2,880","2,820","2,670","4,151","3,350","2,000","1,496","1,227","1,113","1,357","1,247","1,139",856,740,473,468,641,422,796,841,"1,428","1,372",787,782,"1,175",889,848,700,529,420,337,216,14,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"117,858","103,891","93,159","95,853","85,000","87,374","94,050","93,069","91,022","81,863","79,491","79,058","76,505","81,447","84,744","86,893","91,710","93,709","99,955","98,376","99,654","125,198","124,569","121,892","172,098","155,585","166,024","169,725","173,564","199,292","184,692","158,503","144,660","137,848","125,649","115,798","140,496","83,903","136,099","182,339","156,144","139,028","164,591","167,346","206,085","176,552","184,081","190,587","207,599","286,260","600,932","1,374,471","2,368,982","3,452,918","4,521,340","5,119,772","5,525,743","5,769,945","6,632,662","7,296,205","7,585,661","8,079,044","7,935,485","8,013,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,"1,191","1,157","2,329","1,866","1,968","2,584","2,242","3,476","3,998","4,443",895,898,"1,478","1,323","1,451","1,270","1,348","1,627","1,636","1,576","1,660","1,099","1,024","1,104","1,095",999,966,998,"1,649","2,133","1,871","1,857","15,413","16,753","15,968",614,511,531,494,450,172,174,178,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,64,73,77,92,79,87,0,59,49,58,65,91,26,20,17,28,48,271,481,972,"1,261","1,747","3,047","4,041","5,143","4,845","3,575","2,794","2,165","1,961","2,139","1,917","1,825","1,718","2,054","1,876","1,744","1,557","1,463","1,263","1,193","2,074","2,116","1,862","2,169","2,277","2,764","4,092","4,874","5,631","5,951","5,638","6,624","6,240","6,010","4,959","4,180","3,515","3,737","3,221","3,724","3,133","3,112","3,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,"6,602,696","6,682,140","6,812,787","6,952,455","7,311,876","7,436,127","7,746,648","7,934,585","8,271,293","8,654,795","9,213,703","9,438,928","9,550,844","9,375,616","9,006,053","8,282,525","7,974,291","7,830,026","7,085,791","7,409,524","7,228,720","6,967,250","6,380,060","5,834,372","6,098,210","6,038,458","5,902,400","5,671,833","5,787,320","5,638,965","5,653,163","5,644,617","5,611,228","5,727,099","5,825,006","5,822,544","5,898,493","5,883,165","6,002,817","5,767,547","5,989,538","5,971,835","5,844,637","5,902,223","5,764,490","5,973,867","6,249,274","6,850,716","7,711,507","7,572,107","7,549,424","8,014,144","8,523,892","8,825,436","9,366,356","9,392,314","8,659,990","8,735,219","9,776,991","11,323,138","11,951,894","12,172,271","13,175,140","14,311,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,"51,181","57,333","74,333","77,335","80,397","71,814","69,558","49,101","46,279","46,862","42,899","47,369","43,782","47,222","55,793","59,394","61,858","65,876","62,165","64,758","104,232","108,908","97,093","75,953","88,084","96,802","104,499","116,185","145,878","161,326","188,739","179,869","204,225","265,694","311,441","278,895","278,136","294,672","308,413","294,159","301,280","316,014","294,974","289,597","297,852","321,479","372,099","399,971","463,709","475,218","465,967","496,623","534,130","516,190","501,322","461,219","401,909","346,868","326,320","299,544","265,965","264,088","287,614","318,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
